GHG,Total#Houses,Totallightbulbs,Totalgalsgas,DOW
0.0,254012.55622984772,634916.6435197411,1473078.1062361407,7.0
0.0,255311.72300374444,638163.9842758541,1480401.7177175593,7.0
0.0,247589.06531498668,618860.7583799699,1436580.7070065837,7.0
0.0,251791.903971853,629366.0629548647,1459432.8365186122,7.0
0.0,261168.59536991126,652803.7862309221,1510312.9767854875,7.0
0.0,257678.80627535045,644080.8845019283,1490294.4838123643,7.0
0.0,257707.45006481535,644152.6736126366,1487859.9287811227,7.0
0.0,255727.94149155729,639204.7508295294,1477034.8044589527,7.0
0.0,252318.76490777545,630683.4672555947,1455656.4082134212,7.0
0.0,254469.58369008393,636059.7107172672,1465850.4042436169,7.0
0.0,254897.3549967031,637128.9604144938,1468120.0497734987,7.0
0.0,255910.6868844927,639662.0198566735,1471459.5773848551,7.0
0.0,258232.8214,645467.129961,1473808.425625,7.0
0.0,259502.68820906346,648640.9262999219,1485096.2031003537,7.0
0.0,259838.54473472867,649480.3846473354,1487472.4757191818,7.0
0.0,262132.38758566006,655213.9447978084,1500812.8678462296,7.0
0.0,270939.44529085833,677227.7617428729,1549474.8289393834,7.0
0.0,266337.5888565526,665725.1655895223,1523446.3711144088,7.0
0.0,266872.40610207594,667061.9573136683,1526665.5173147342,7.0
0.0,265473.86479042954,663566.2658310512,1518216.8203940564,7.0
0.0,259353.64231707295,648268.5832205956,1481560.4427125603,7.0
0.0,264937.2772144519,662225.1703832569,1513393.6836919056,7.0
0.0,271809.98368326336,679403.9141250412,1551834.2804142989,7.0
0.0,274246.04153837415,685493.0205730322,1565047.3975818031,7.0
0.0,280341.1989920621,700728.352205929,1597611.6010293127,7.0
0.0,285676.9508794813,714065.3567759477,1627819.2596382827,7.0
0.0,288325.0376496334,720684.4470546092,1642183.1120777356,7.0
0.0,298488.2021893641,746087.9330189243,1698431.0885212389,7.0
0.0,350924.0,877154.36,1991722.0,7.0
0.0,329830.5359975801,824430.1155961404,1872045.9379498996,7.0
0.0,326380.91052525194,815807.786119495,1849931.358522989,7.0
0.0,322185.64545981755,805321.52498615,1825823.9922754108,7.0
0.0,322596.79685801454,806349.5423583825,1824301.4190372431,7.0
0.0,322174.39328967396,805293.7741446192,1821093.2882312892,7.0
0.0,316080.7326187778,790062.4469950048,1785187.810437221,7.0
0.0,318566.11886768945,796274.9919061676,1796820.880898518,7.0
0.0,321529.845491194,803683.9560864079,1800862.145107829,7.0
0.0,319937.40672268596,799703.2538932513,1796091.7117479215,7.0
0.0,318853.6297983221,796994.36119811,1789295.7913792676,7.0
0.0,317228.56600763905,792932.4085957041,1780354.8028526215,7.0
0.0,311616.68627120636,778905.5635802116,1744201.8916257161,7.0
